name,origin,style,since
Scorpion Child,,,
Scorpions,,,
Sebastian Bach,,,
Secret of the Moon,,,
Secrets of the Moon ,,,
Seether,,,
Senser,,,
Septic Flesh,,,
Sepultura,,,
Seth,,,
Severe Torture,,,
Shai Hulud,,,
Shape of Despair,,,
Shinedown,,,
Shining,,,
Sick of it All,,,
Sigh,,,
Sinister ,,,
Six Feet Under,,,
Sixx:A.M.,,,
Sk?lm?ld,,,
Skeletal Remains,,,
Skid Row,,,
Skinless,,,
Skyclad,,,
Skyforger,,,
Slapshot,,,
Slash,,,
Slayer,,,
Sleep,,,
Slipknot,,,
Slit,,,
Sna+AC0-fu aka (Grand D?sordre Orchestre),,,
Snot,,,
Sodom,,,
Soilent Green,,,
Soilwork,,,
Solace ,,,
Solefald,,,
S?lstafir,,,
Sonata Arctica,,,
Sonny Red,,,
Soulfly,,,
Soundgarden,,,
Spirit Caravan,,,
Spiritual Beggars,,,
Squealer,,,
Srutr,,,
SSS ,,,
Status Quo,,,
Steak Number Eight,,,
Steel Panther,,,
Stick to Your Guns,,,
Sticky Boys,,,
Stille Volk,,,
Stinky Bollocks,,,
Stone Sour,,,
Stonebirds,,,
Stoned Jesus,,,
Stratovarius,,,
Street Dogs,,,
Strife,,,
Strong As Ten,,,
SubRosa aka For Squirrels,,,
Suffocation,,,
Suicidal Angels,,,
Suicidal Tendencies,,,
Suicide Silence,,,
Sunn O))),,,
SUP,,,
Superjoint Ritual,,,
Supuration,,,
Svart Crown,,,
Swallow the Sun,,,
Swans,,,
Sworn Enemy,,,
Sybreed,,,
Sylosis,,,
Symphony X,,,
T.A.N.K. (Think of A New Kind),,,
Taake,,,
Tagada Jones,,,
Taint,,,
Tamtrum,,,
Tankard,,,
Tarja,,,
Temple of Baal,,,
Terra Tenebrosa,,,
Terror,,,
Terrorizer,,,
Testament,,,
Textures,,,
The Amity Affliction,,,
The Answer,,,
The ARRS,,,
The Black Dahlia Murder,,,
The Bones,,,
The Bronx,,,
The Business,,,
The Casualties,,,
The Crown,,,
The Cult,,,
The Damned Things,,,
The Decline+ACE-,,,
The Devil's Blood,,,
The Dillinger Escape Plan,,,
The Exploited,,,
The Faceless,,,
The Ghost Inside,,,
The Great Old Ones,,,
The Haunted,,,
The Lumberjack Feedback,,,
The Obsessed,,,
The Ocean,,,
The Offspring,,,
The Old Dead Tree,,,
The Outburst,,,
The Quireboys,,,
The Rodeo Idiot Engine,,,
The Ruins of Beverast,,,
the Secret,,,
The Set+AC0-Up,,,
The Shrine,,,
The Skull,,,
The Spudmonsters,,,
The Sword,,,
The Toy Dolls,,,
The Vision Bleak,,,
The Wounded Kings,,,
The Young Gods,,,
Therapy?,,,
Therion,,,
Thin Lizzy,,,
Thou,,,
Throwdown,,,
Thy Art Is Murder,,,
Times of Grace,,,
Today is a Day,,,
Torche,,,
Total Fucking Destruction,,,
Toxic Holocaust,,,
Tragedy,,,
Trap Them,,,
Tremonti,,,
Trepalium,,,
Treponem Pal,,,
Tribulation,,,
Triggerfinger,,,
Triptykon,,,
Trivium,,,
Trollfest,,,
Tromatized Youth,,,
